code,year,anu_ret_std
000001,2002,
000001,2003,0.2649298414179787
000001,2004,0.30239545729055883
000001,2005,0.4102667942063977
000001,2006,0.4806562652199304
000001,2007,0.669936425300222
000001,2008,0.7379987599994504
000001,2009,0.4579264975878394
000001,2010,0.30849502564533393
000001,2011,0.248840164653945
000001,2012,0.23902222570649564
000001,2013,0.6742982971749343
000001,2014,0.33602468293462434
000001,2015,0.4783759985496535
000001,2016,0.2584069847097878
000001,2017,0.30122541107173384
000002,2002,
000002,2003,0.6071870115684567
000002,2004,0.5002683780178447
000002,2005,0.5126680992949092
000002,2006,0.42971382607516184
000002,2007,0.6971999710727438
000002,2008,0.7686901746898926
000002,2009,0.48841689607646993
000002,2010,0.3611947444704735
000002,2011,0.272351690099079
000002,2012,0.28740161883472787
000002,2013,0.35800721718731754
000002,2014,0.37515434211012677
000002,2015,0.5110183155969494
000002,2016,0.6073409754060791
000002,2017,0.3398530881938425
000004,2002,
000004,2003,0.38077885853311594
000004,2004,0.5589847115191868
000004,2005,0.48409118019415415
000004,2006,0.5792335374652059
000004,2007,0.6187775118504824
000004,2008,0.524500815538001
000004,2009,0.47099946539894766
000004,2010,0.3841127090170617
000004,2011,0.3889372947378233
000004,2012,0.42492205102760783
000004,2013,0.4058297697414107
000004,2014,0.41958617565578565
000004,2015,0.7838949981689555
000004,2016,0.68562319315808
000004,2017,0.42816432473132676
000005,2002,
000005,2003,0.303599815686662
000005,2004,0.37883467340893867
000005,2005,0.4098987965144847
000005,2006,0.738797950963414
000005,2007,0.5854080603167676
000005,2008,0.6598059828880071
000005,2009,0.5493130457690445
000005,2010,0.36442878053411204
000005,2011,0.3622018797582532
000005,2012,0.38416848920991464
000005,2013,0.3227260096490535
000005,2014,0.44938293016692166
000005,2015,1.8195426599132
000005,2016,0.35460047452897736
000005,2017,0.22796341620953428
000006,2002,
000006,2003,0.31672980788998123
000006,2004,0.46592812767062997
000006,2005,0.36894415605644715
000006,2006,0.47598277660704846
000006,2007,0.611726695637555
000006,2008,0.8510911048218072
000006,2009,0.6179247919159737
000006,2010,0.6308419688243102
000006,2011,0.4066210675045689
000006,2012,0.5169788758166021
000006,2013,0.3657914252924486
000006,2014,0.3978374178548968
000006,2015,0.8019834238651661
000006,2016,0.4204297849783896
000006,2017,0.3479114706567861
000007,2002,
000007,2003,0.2967990093768873
000007,2004,0.5360021285701639
000007,2005,0.634702223867
000007,2006,0.5835520468682347
000007,2007,0.7489409718082948
000007,2008,0.6042194941196214
000007,2009,0.44693528314878317
000007,2010,0.30902496561042786
000007,2011,0.4109495075772267
000007,2012,0.5136950034044322
000007,2013,0.520077932137021
000007,2014,0.5941917736542657
000007,2015,0.643279690659142
000007,2016,0.48436488202974026
000007,2017,0.7035736258283387
000008,2002,
000008,2003,0.31795567468773955
000008,2004,0.3573140745040878
000008,2005,0.603128058509463
000008,2006,0.441608122423976
000008,2007,0.5335380515160638
000008,2008,0.5037494335175172
000008,2009,0.4829282322144486
000008,2010,0.43282705111154995
000008,2011,0.3204050878037896
000008,2012,0.49964728999787494
000008,2013,0.5690272974313363
000008,2014,0.8009777793043475
000008,2015,1.2528265748029437
000008,2016,0.39602645956228844
000008,2017,0.20452209344600594
000009,2002,
000009,2003,0.24112350764197807
000009,2004,0.3017509791110672
000009,2005,0.42353299325541977
000009,2006,0.35685437667446845
000009,2007,0.6007813159733272
000009,2008,0.906291332188238
000009,2009,0.5838483469002415
